
================================================================================
ANÁLISIS LÉXICO DEL ARCHIVO: algoritmo2.go
Fecha: 2025-11-27 21:18:03
Usuario: SKEIILAT
================================================================================

Token: PACKAGE              | Valor: package                        | Línea:    5 | Columna:    1
Token: ID                   | Valor: main                           | Línea:    5 | Columna:    9
Token: IMPORT               | Valor: import                         | Línea:    7 | Columna:    1
Token: STRING_LITERAL       | Valor: fmt                            | Línea:    7 | Columna:    8
Token: FUNC                 | Valor: func                           | Línea:    9 | Columna:    1
Token: ID                   | Valor: main                           | Línea:    9 | Columna:    6
Token: LPAREN               | Valor: (                              | Línea:    9 | Columna:    0
Token: RPAREN               | Valor: )                              | Línea:    9 | Columna:    0
Token: LBRACE               | Valor: {                              | Línea:    9 | Columna:    0
Token: ID                   | Valor: edad                           | Línea:   11 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   11 | Columna:    0
Token: INT_LITERAL          | Valor: 25                             | Línea:   11 | Columna:   13
Token: ID                   | Valor: puntuacion                     | Línea:   12 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   12 | Columna:    0
Token: INT_LITERAL          | Valor: 85                             | Línea:   12 | Columna:   19
Token: ID                   | Valor: dia                            | Línea:   13 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   13 | Columna:    0
Token: STRING_LITERAL       | Valor: lunes                          | Línea:   13 | Columna:   12
Token: ID                   | Valor: numeros                        | Línea:   14 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   14 | Columna:    0
Token: LBRACKET             | Valor: [                              | Línea:   14 | Columna:    0
Token: RBRACKET             | Valor: ]                              | Línea:   14 | Columna:    0
Token: ID                   | Valor: int                            | Línea:   14 | Columna:   18
Token: LBRACE               | Valor: {                              | Línea:   14 | Columna:    0
Token: INT_LITERAL          | Valor: 1                              | Línea:   14 | Columna:   22
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:    0
Token: INT_LITERAL          | Valor: 2                              | Línea:   14 | Columna:   25
