================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo1.go
Fecha y hora: 24/11/2025 20:33:21
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (288)
--------------------------------------------------------------------------------
Token: PACKAGE              | Valor: package                        | Línea:    5 | Columna:    1
Token: ID                   | Valor: main                           | Línea:    5 | Columna:    9
Token: IMPORT               | Valor: import                         | Línea:    7 | Columna:    1
Token: STRING_LITERAL       | Valor: fmt                            | Línea:    7 | Columna:    8
Token: FUNC                 | Valor: func                           | Línea:    9 | Columna:    1
Token: ID                   | Valor: main                           | Línea:    9 | Columna:    6
Token: LPAREN               | Valor: (                              | Línea:    9 | Columna:   10
Token: RPAREN               | Valor: )                              | Línea:    9 | Columna:   11
Token: LBRACE               | Valor: {                              | Línea:    9 | Columna:   13
Token: VAR                  | Valor: var                            | Línea:   11 | Columna:    5
Token: ID                   | Valor: nombre                         | Línea:   11 | Columna:    9
Token: ID                   | Valor: string                         | Línea:   11 | Columna:   16
Token: VAR                  | Valor: var                            | Línea:   12 | Columna:    5
Token: ID                   | Valor: edad                           | Línea:   12 | Columna:    9
Token: ID                   | Valor: int                            | Línea:   12 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   12 | Columna:   18
Token: INT_LITERAL          | Valor: 25                             | Línea:   12 | Columna:   20
Token: VAR                  | Valor: var                            | Línea:   13 | Columna:    5
Token: ID                   | Valor: precio                         | Línea:   13 | Columna:    9
Token: ID                   | Valor: float64                        | Línea:   13 | Columna:   16
Token: ASSIGN               | Valor: =                              | Línea:   13 | Columna:   24
Token: FLOAT_LITERAL        | Valor: 19.99                          | Línea:   13 | Columna:   26
Token: VAR                  | Valor: var                            | Línea:   14 | Columna:    5
Token: ID                   | Valor: activo                         | Línea:   14 | Columna:    9
Token: ID                   | Valor: bool                           | Línea:   14 | Columna:   16
Token: ASSIGN               | Valor: =                              | Línea:   14 | Columna:   21
Token: BOOL_LITERAL         | Valor: true                           | Línea:   14 | Columna:   23
